"Título","","","","","","","","","","",""
"","1011","Huánuco, provincia: Yarowilca","00 000 000 000 061","00 000 000 006 494","00 000 000 000 038","00 000 000 006 517","00 000 000 003 759","00 000 000 002 796","00 000 000 000 014","00 000 000 006 541",""
"","1101","Ica, provincia: Ica","00 000 000 035 688","00 000 000 073 640","00 000 000 035 016","00 000 000 074 312","00 000 000 097 779","00 000 000 011 549","00 000 000 023 871","00 000 000 085 457",""
"","1102","Ica, provincia: Chincha","00 000 000 013 506","00 000 000 047 246","00 000 000 026 882","00 000 000 033 870","00 000 000 051 840","00 000 000 008 912","00 000 000 009 921","00 000 000 050 831",""
"","1103","Ica, provincia: Nazca","00 000 000 004 667","00 000 000 016 342","00 000 000 007 129","00 000 000 013 880","00 000 000 018 482","00 000 000 002 527","00 000 000 003 299","00 000 000 017 710",""
"","1104","Ica, provincia: Palpa","00 000 000 000 373","00 000 000 003 871","00 000 000 001 427","00 000 000 002 817","00 000 000 003 295","00 000 000 000 949","00 000 000 000 346","00 000 000 003 898",""
"","1105","Ica, provincia: Pisco","00 000 000 011 037","00 000 000 031 668","00 000 000 024 225","00 000 000 018 480","00 000 000 037 272","00 000 000 005 433","00 000 000 005 091","00 000 000 037 614",""
"","1201","Junín, provincia: Huancayo","00 000 000 040 411","00 000 000 110 262","00 000 000 032 934","00 000 000 117 739","00 000 000 134 633","00 000 000 016 040","00 000 000 031 465","00 000 000 119 208",""
"","1202","Junín, provincia: Concepción","00 000 000 001 502","00 000 000 014 925","00 000 000 001 869","00 000 000 014 558","00 000 000 011 760","00 000 000 004 667","00 000 000 001 344","00 000 000 015 083",""
"","1203","Junín, provincia: Chanchamayo","00 000 000 004 081","00 000 000 040 399","00 000 000 014 253","00 000 000 030 227","00 000 000 035 333","00 000 000 009 147","00 000 000 002 321","00 000 000 042 159",""
"","1204","Junín, provincia: Jauja","00 000 000 002 110","00 000 000 023 193","00 000 000 003 575","00 000 000 021 728","00 000 000 019 890","00 000 000 005 413","00 000 000 001 363","00 000 000 023 940",""
"","1205","Junín, provincia: Junín","00 000 000 000 395","00 000 000 007 199","00 000 000 000 898","00 000 000 006 696","00 000 000 005 617","00 000 000 001 977","00 000 000 000 266","00 000 000 007 328",""
"","1206","Junín, provincia: Satipo","00 000 000 002 188","00 000 000 050 066","00 000 000 009 420","00 000 000 042 834","00 000 000 030 749","00 000 000 021 505","00 000 000 000 779","00 000 000 051 475",""
"","1207","Junín, provincia: Tarma","00 000 000 003 592","00 000 000 023 836","00 000 000 004 736","00 000 000 022 692","00 000 000 022 484","00 000 000 004 944","00 000 000 002 322","00 000 000 025 106",""
"","1208","Junín, provincia: Yauli","00 000 000 001 825","00 000 000 008 807","00 000 000 006 414","00 000 000 004 218","00 000 000 009 438","00 000 000 001 194","00 000 000 000 875","00 000 000 009 757",""
"","1209","Junín, provincia: Chupaca","00 000 000 001 096","00 000 000 013 826","00 000 000 001 037","00 000 000 013 885","00 000 000 011 485","00 000 000 003 437","00 000 000 001 083","00 000 000 013 839",""
"","1301","La Lbertad, provincia: Trujillo","00 000 000 104 086","00 000 000 146 195","00 000 000 086 412","00 000 000 163 869","00 000 000 228 342","00 000 000 021 939","00 000 000 087 814","00 000 000 162 467",""
"","1302","La Lbertad, provincia: Ascope","00 000 000 008 434","00 000 000 023 282","00 000 000 019 145","00 000 000 012 571","00 000 000 027 174","00 000 000 004 542","00 000 000 006 013","00 000 000 025 703",""
"","1303","La Lbertad, provincia: Bolívar","00 000 000 000 061","00 000 000 003 981","00 000 000 000 235","00 000 000 003 807","00 000 000 002 912","00 000 000 001 130","00 000 000 000 012","00 000 000 004 030",""
"","1304","La Lbertad, provincia: Chepén","00 000 000 003 865","00 000 000 018 684","00 000 000 011 079","00 000 000 011 470","00 000 000 019 389","00 000 000 003 160","00 000 000 002 181","00 000 000 020 368",""
"","1305","La Lbertad, provincia: Julcán","00 000 000 000 214","00 000 000 008 792","00 000 000 000 177","00 000 000 008 829","00 000 000 005 482","00 000 000 003 524","00 000 000 000 043","00 000 000 008 963",""
"","1306","La Lbertad, provincia: Otuzco","00 000 000 000 499","00 000 000 023 558","00 000 000 001 939","00 000 000 022 118","00 000 000 016 318","00 000 000 007 739","00 000 000 000 347","00 000 000 023 710",""
"","1307","La Lbertad, provincia: Pacasmayo","00 000 000 006 678","00 000 000 022 761","00 000 000 016 070","00 000 000 013 369","00 000 000 025 986","00 000 000 003 453","00 000 000 004 397","00 000 000 025 042",""
"","1308","La Lbertad, provincia: Pataz","00 000 000 000 491","00 000 000 018 380","00 000 000 002 309","00 000 000 016 562","00 000 000 012 769","00 000 000 006 102","00 000 000 000 091","00 000 000 018 780",""
"","1309","La Lbertad, provincia: Sánchez Carrión","00 000 000 001 483","00 000 000 037 398","00 000 000 004 037","00 000 000 034 844","00 000 000 026 644","00 000 000 012 237","00 000 000 000 317","00 000 000 038 564",""
"","1310","La Lbertad, provincia: Santiago de Chuco","00 000 000 000 382","00 000 000 013 980","00 000 000 001 168","00 000 000 013 194","00 000 000 009 917","00 000 000 004 445","00 000 000 000 151","00 000 000 014 211",""
"","1311","La Lbertad, provincia: Gran Chimú","00 000 000 000 258","00 000 000 007 701","00 000 000 000 884","00 000 000 007 075","00 000 000 005 450","00 000 000 002 509","00 000 000 000 210","00 000 000 007 749",""
"","1312","La Lbertad, provincia: Virú","00 000 000 002 931","00 000 000 019 933","00 000 000 012 073","00 000 000 010 791","00 000 000 019 808","00 000 000 003 056","00 000 000 000 885","00 000 000 021 979",""
"","1401","Lambayeque, provincia: Chiclayo","00 000 000 074 540","00 000 000 133 991","00 000 000 079 822","00 000 000 128 709","00 000 000 188 109","00 000 000 020 422","00 000 000 057 242","00 000 000 151 289",""
"","1402","Lambayeque, provincia: Ferreñafe","00 000 000 003 801","00 000 000 021 620","00 000 000 004 111","00 000 000 021 310","00 000 000 019 896","00 000 000 005 525","00 000 000 003 117","00 000 000 022 304",""
"","1403","Lambayeque, provincia: Lambayeque","00 000 000 010 427","00 000 000 064 608","00 000 000 015 040","00 000 000 059 995","00 000 000 060 704","00 000 000 014 331","00 000 000 006 371","00 000 000 068 664",""
"","1501","Lima, provincia: Lima","00 000 001 171 306","00 000 001 182 644","00 000 001 424 444","00 000 000 929 506","00 000 002 184 705","00 000 000 169 245","00 000 001 020 012","00 000 001 333 938",""
"","1502","Lima, provincia: Barranca","00 000 000 011 008","00 000 000 029 442","00 000 000 025 237","00 000 000 015 213","00 000 000 035 160","00 000 000 005 290","00 000 000 009 793","00 000 000 030 657",""
"","1503","Lima, provincia: Cajatambo","00 000 000 000 024","00 000 000 002 211","00 000 000 000 283","00 000 000 001 952","00 000 000 001 298","00 000 000 000 937","00 000 000 000 058","00 000 000 002 177",""
"","1504","Lima, provincia: Canta","00 000 000 000 157","00 000 000 003 821","00 000 000 001 402","00 000 000 002 576","00 000 000 003 012","00 000 000 000 966","00 000 000 000 156","00 000 000 003 822",""
"","1505","Lima, provincia: Cañete","00 000 000 014 681","00 000 000 052 220","00 000 000 031 127","00 000 000 035 774","00 000 000 059 141","00 000 000 007 760","00 000 000 007 453","00 000 000 059 448",""
"","1506","Lima, provincia: Huaral","00 000 000 013 778","00 000 000 036 221","00 000 000 027 974","00 000 000 022 025","00 000 000 044 336","00 000 000 005 663","00 000 000 008 404","00 000 000 041 595",""
"","1507","Lima, provincia: Huarochirí","00 000 000 002 031","00 000 000 015 411","00 000 000 007 376","00 000 000 010 066","00 000 000 013 614","00 000 000 003 828","00 000 000 001 721","00 000 000 015 721",""
"","1508","Lima, provincia: Huaura","00 000 000 019 867","00 000 000 044 752","00 000 000 037 734","00 000 000 026 885","00 000 000 056 811","00 000 000 007 808","00 000 000 015 447","00 000 000 049 172",""
"","1509","Lima, provincia: Oyón","00 000 000 000 300","00 000 000 004 378","00 000 000 002 149","00 000 000 002 529","00 000 000 003 639","00 000 000 001 039","00 000 000 000 201","00 000 000 004 477",""
"","1510","Lima, provincia: Yauyos","00 000 000 000 022","00 000 000 006 848","00 000 000 001 107","00 000 000 005 763","00 000 000 004 354","00 000 000 002 516","00 000 000 000 175","00 000 000 006 695",""
"","1601","Loreto, provincia: Maynas","00 000 000 021 390","00 000 000 085 456","00 000 000 046 681","00 000 000 060 165","00 000 000 081 055","00 000 000 025 791","00 000 000 016 772","00 000 000 090 074",""
"","1602","Loreto, provincia: Alto Amazonas","00 000 000 002 365","00 000 000 026 644","00 000 000 009 840","00 000 000 019 169","00 000 000 018 398","00 000 000 010 611","00 000 000 001 601","00 000 000 027 408",""
"","1603","Loreto, provincia: Loreto","00 000 000 000 361","00 000 000 013 365","00 000 000 002 926","00 000 000 010 800","00 000 000 006 442","00 000 000 007 284","00 000 000 000 322","00 000 000 013 404",""
"","1604","Loreto, provincia: Mariscal Ramón Castilla","00 000 000 000 102","00 000 000 010 448","00 000 000 001 678","00 000 000 008 872","00 000 000 003 897","00 000 000 006 653","00 000 000 000 295","00 000 000 010 255",""
"","1605","Loreto, provincia: Requena","00 000 000 000 326","00 000 000 012 099","00 000 000 001 871","00 000 000 010 554","00 000 000 006 093","00 000 000 006 332","00 000 000 000 342","00 000 000 012 083",""
"","1606","Loreto, provincia: Ucayali","00 000 000 000 265","00 000 000 011 891","00 000 000 001 877","00 000 000 010 279","00 000 000 006 828","00 000 000 005 328","00 000 000 000 158","00 000 000 011 998",""
"","1607","Loreto, provincia: Datem del Marañón","00 000 000 000 227","00 000 000 010 022","00 000 000 001 397","00 000 000 008 852","00 000 000 003 458","00 000 000 006 791","00 000 000 000 223","00 000 000 010 026",""
"","1608","Loreto, provincia: Putumayo","00 000 000 000 017","00 000 000 001 707","00 000 000 000 416","00 000 000 001 308","00 000 000 000 577","00 000 000 001 147","00 000 000 000 138","00 000 000 001 586",""
"","1701","Madre de Dios prov. de Tambopata","00 000 000 006 430","00 000 000 026 259","00 000 000 015 717","00 000 000 016 972","00 000 000 029 498","00 000 000 003 191","00 000 000 003 632","00 000 000 029 057",""
"","1702","Madre de Dios prov. de Manu","00 000 000 000 139","00 000 000 005 464","00 000 000 002 097","00 000 000 003 506","00 000 000 004 380","00 000 000 001 223","00 000 000 000 081","00 000 000 005 522",""
"","1703","Madre de Dios prov. de Tahuamanu","00 000 000 000 239","00 000 000 002 881","00 000 000 001 234","00 000 000 001 886","00 000 000 002 567","00 000 000 000 553","00 000 000 000 051","00 000 000 003 069",""
"","1801","Moquegua, provincia: Mariscal Nieto","00 000 000 007 042","00 000 000 021 760","00 000 000 009 871","00 000 000 018 931","00 000 000 025 918","00 000 000 002 884","00 000 000 003 432","00 000 000 025 370",""
"","1802","Moquegua, provincia: General Sánchez Cerro","00 000 000 000 160","00 000 000 006 245","00 000 000 000 246","00 000 000 006 159","00 000 000 003 681","00 000 000 002 724","00 000 000 000 037","00 000 000 006 368",""
"","1803","Moquegua, provincia: Ilo","00 000 000 007 560","00 000 000 016 235","00 000 000 012 583","00 000 000 011 212","00 000 000 022 382","00 000 000 001 413","00 000 000 004 978","00 000 000 018 817",""
"","1901","Pasco, provincia: Pasco","00 000 000 004 392","00 000 000 028 859","00 000 000 011 596","00 000 000 021 655","00 000 000 028 971","00 000 000 004 280","00 000 000 001 345","00 000 000 031 906",""
"","1902","Pasco, provincia: Daniel Alcides Carrión","00 000 000 000 156","00 000 000 010 842","00 000 000 000 633","00 000 000 010 365","00 000 000 007 088","00 000 000 003 910","00 000 000 000 045","00 000 000 010 953",""
"","1903","Pasco, provincia: Oxapampa","00 000 000 002 078","00 000 000 022 870","00 000 000 009 574","00 000 000 015 374","00 000 000 017 042","00 000 000 007 906","00 000 000 000 881","00 000 000 024 067",""
"","2001","Piura, provincia: Piura","00 000 000 050 504","00 000 000 154 765","00 000 000 057 815","00 000 000 147 454","00 000 000 166 068","00 000 000 039 201","00 000 000 038 110","00 000 000 167 159",""
"","2002","Piura, provincia: Ayabaca","00 000 000 000 446","00 000 000 031 060","00 000 000 001 636","00 000 000 029 870","00 000 000 016 805","00 000 000 014 701","00 000 000 000 363","00 000 000 031 143",""
"","2003","Piura, provincia: Huancabamba","00 000 000 000 908","00 000 000 031 067","00 000 000 002 030","00 000 000 029 945","00 000 000 018 194","00 000 000 013 781","00 000 000 000 378","00 000 000 031 597",""
"","2004","Piura, provincia: Morropón","00 000 000 002 687","00 000 000 044 040","00 000 000 011 356","00 000 000 035 371","00 000 000 032 114","00 000 000 014 613","00 000 000 002 039","00 000 000 044 688",""
"","2005","Piura, provincia: Paita","00 000 000 005 074","00 000 000 029 945","00 000 000 017 937","00 000 000 017 082","00 000 000 029 728","00 000 000 005 291","00 000 000 002 073","00 000 000 032 946",""
"","2006","Piura, provincia: Sullana","00 000 000 015 059","00 000 000 068 371","00 000 000 034 237","00 000 000 049 193","00 000 000 066 311","00 000 000 017 119","00 000 000 010 304","00 000 000 073 126",""
"","2007","Piura, provincia: Talara","00 000 000 008 765","00 000 000 029 540","00 000 000 022 842","00 000 000 015 463","00 000 000 033 491","00 000 000 004 814","00 000 000 006 675","00 000 000 031 630",""
"","2008","Piura, provincia: Sechura","00 000 000 002 950","00 000 000 017 505","00 000 000 010 027","00 000 000 010 428","00 000 000 017 011","00 000 000 003 444","00 000 000 000 647","00 000 000 019 808",""
"","2101","Puno, provincia: Puno","00 000 000 011 659","00 000 000 064 518","00 000 000 010 776","00 000 000 065 401","00 000 000 058 264","00 000 000 017 913","00 000 000 006 925","00 000 000 069 252",""
"","2102","Puno, provincia: Azángaro","00 000 000 000 677","00 000 000 039 067","00 000 000 000 359","00 000 000 039 385","00 000 000 027 878","00 000 000 011 866","00 000 000 000 112","00 000 000 039 632",""
"","2103","Puno, provincia: Carabaya","00 000 000 000 354","00 000 000 024 933","00 000 000 000 335","00 000 000 024 952","00 000 000 012 997","00 000 000 012 290","00 000 000 000 097","00 000 000 025 190",""
"","2104","Puno, provincia: Chucuito","00 000 000 000 886","00 000 000 035 858","00 000 000 000 671","00 000 000 036 073","00 000 000 019 689","00 000 000 017 055","00 000 000 000 215","00 000 000 036 529",""
"","2105","Puno, provincia: El Collao","00 000 000 000 575","00 000 000 025 497","00 000 000 000 790","00 000 000 025 282","00 000 000 015 454","00 000 000 010 618","00 000 000 000 260","00 000 000 025 812",""
"","2106","Puno, provincia: Huancané","00 000 000 000 320","00 000 000 023 410","00 000 000 000 403","00 000 000 023 327","00 000 000 015 230","00 000 000 008 500","00 000 000 000 057","00 000 000 023 673",""
"","2107","Puno, provincia: Lampa","00 000 000 000 562","00 000 000 015 634","00 000 000 000 298","00 000 000 015 898","00 000 000 011 400","00 000 000 004 796","00 000 000 000 036","00 000 000 016 160",""
"","2108","Puno, provincia: Melgar","00 000 000 000 610","00 000 000 022 073","00 000 000 000 672","00 000 000 022 011","00 000 000 017 179","00 000 000 005 504","00 000 000 000 138","00 000 000 022 545",""
"","2109","Puno, provincia: Moho","00 000 000 000 046","00 000 000 008 957","00 000 000 000 032","00 000 000 008 971","00 000 000 003 998","00 000 000 005 005","00 000 000 000 034","00 000 000 008 969",""
"","2110","Puno, provincia: San Antonio de Putina","00 000 000 000 201","00 000 000 012 522","00 000 000 001 822","00 000 000 010 901","00 000 000 009 246","00 000 000 003 477","00 000 000 000 126","00 000 000 012 597",""
"","2111","Puno, provincia: San Román","00 000 000 014 659","00 000 000 077 479","00 000 000 008 992","00 000 000 083 146","00 000 000 084 741","00 000 000 007 397","00 000 000 006 605","00 000 000 085 533",""
"","2112","Puno, provincia: Sandia","00 000 000 000 032","00 000 000 020 077","00 000 000 000 322","00 000 000 019 787","00 000 000 011 604","00 000 000 008 505","00 000 000 000 096","00 000 000 020 013",""
"","2113","Puno, provincia: Yunguyo","00 000 000 000 343","00 000 000 014 020","00 000 000 000 363","00 000 000 014 000","00 000 000 008 407","00 000 000 005 956","00 000 000 000 131","00 000 000 014 232",""
"","2201","San Martín, provincia: Moyobamba","00 000 000 005 176","00 000 000 028 617","00 000 000 015 517","00 000 000 018 276","00 000 000 028 926","00 000 000 004 867","00 000 000 002 388","00 000 000 031 405",""
"","2202","San Martín, provincia: Bellavista","00 000 000 001 351","00 000 000 013 538","00 000 000 005 209","00 000 000 009 680","00 000 000 010 452","00 000 000 004 437","00 000 000 000 413","00 000 000 014 476",""
"","2203","San Martín, provincia: El Dorado","00 000 000 000 451","00 000 000 008 954","00 000 000 002 130","00 000 000 007 275","00 000 000 006 548","00 000 000 002 857","00 000 000 000 117","00 000 000 009 288",""
"","2204","San Martín, provincia: Huallaga","00 000 000 000 258","00 000 000 007 821","00 000 000 002 954","00 000 000 005 125","00 000 000 004 961","00 000 000 003 118","00 000 000 000 205","00 000 000 007 874",""
"","2205","San Martín, provincia: Lamas","00 000 000 001 333","00 000 000 020 739","00 000 000 007 049","00 000 000 015 023","00 000 000 016 324","00 000 000 005 748","00 000 000 000 741","00 000 000 021 331",""
"","2206","San Martín, provincia: Mariscal Cáceres","00 000 000 002 361","00 000 000 014 704","00 000 000 008 227","00 000 000 008 838","00 000 000 012 103","00 000 000 004 962","00 000 000 000 935","00 000 000 016 130",""
"","2207","San Martín, provincia: Picota","00 000 000 000 569","00 000 000 010 376","00 000 000 004 430","00 000 000 006 515","00 000 000 008 062","00 000 000 002 883","00 000 000 000 105","00 000 000 010 840",""
"","2208","San Martín, provincia: Rioja","00 000 000 003 347","00 000 000 030 747","00 000 000 013 632","00 000 000 020 462","00 000 000 028 777","00 000 000 005 317","00 000 000 000 917","00 000 000 033 177",""
"","2209","San Martín, provincia: San Martín","00 000 000 015 849","00 000 000 037 447","00 000 000 032 854","00 000 000 020 442","00 000 000 046 456","00 000 000 006 840","00 000 000 009 242","00 000 000 044 054",""
"","2210","San Martín, provincia: Tocache","00 000 000 001 592","00 000 000 017 434","00 000 000 008 582","00 000 000 010 444","00 000 000 015 128","00 000 000 003 898","00 000 000 000 553","00 000 000 018 473",""
"","2301","Tacna, provincia: Tacna","00 000 000 029 892","00 000 000 066 377","00 000 000 021 767","00 000 000 074 502","00 000 000 088 906","00 000 000 007 363","00 000 000 016 527","00 000 000 079 742",""
"","2302","Tacna, provincia: Candarave","00 000 000 000 046","00 000 000 002 530","00 000 000 000 037","00 000 000 002 539","00 000 000 001 682","00 000 000 000 894","00 000 000 000 009","00 000 000 002 567",""
"","2303","Tacna, provincia: Jorge Basadre","00 000 000 000 583","00 000 000 002 585","00 000 000 001 265","00 000 000 001 903","00 000 000 002 917","00 000 000 000 251","00 000 000 000 214","00 000 000 002 954",""
"","2304","Tacna, provincia: Tarata","00 000 000 000 056","00 000 000 002 409","00 000 000 000 026","00 000 000 002 439","00 000 000 001 416","00 000 000 001 049","00 000 000 000 018","00 000 000 002 447",""
"","2401","Tumbes, provincia: Tumbes","00 000 000 010 058","00 000 000 032 825","00 000 000 018 213","00 000 000 024 670","00 000 000 037 205","00 000 000 005 678","00 000 000 005 927","00 000 000 036 956",""
"","2402","Tumbes, provincia: Contralmirante Villar","00 000 000 000 930","00 000 000 004 860","00 000 000 003 586","00 000 000 002 204","00 000 000 005 001","00 000 000 000 789","00 000 000 000 455","00 000 000 005 335",""
"","2403","Tumbes, provincia: Zarumilla","00 000 000 002 281","00 000 000 011 644","00 000 000 006 122","00 000 000 007 803","00 000 000 011 716","00 000 000 002 209","00 000 000 001 055","00 000 000 012 870",""
"","2501","Ucayali, provincia: Coronel Portillo","00 000 000 017 965","00 000 000 075 638","00 000 000 031 304","00 000 000 062 299","00 000 000 076 385","00 000 000 017 218","00 000 000 011 054","00 000 000 082 549",""
"","2502","Ucayali, provincia: Atalaya","00 000 000 000 402","00 000 000 011 912","00 000 000 002 176","00 000 000 010 138","00 000 000 005 473","00 000 000 006 841","00 000 000 000 115","00 000 000 012 199",""
"","2503","Ucayali, provincia: Padre Abad","00 000 000 000 787","00 000 000 014 864","00 000 000 004 709","00 000 000 010 942","00 000 000 011 989","00 000 000 003 662","00 000 000 000 334","00 000 000 015 317",""
"","2504","Ucayali, provincia: Purús","00 000 000 000 003","00 000 000 000 685","00 000 000 000 087","00 000 000 000 601","00 000 000 000 233","00 000 000 000 455","00 000 000 000 002","00 000 000 000 686",""
"","TOTAL","","00 000 002 314 182","00 000 005 938 102","00 000 003 100 380","00 000 005 151 904","00 000 006 912 745","00 000 001 339 539","00 000 001 805 771","00 000 006 446 513",""
"","","","","","","","","","","",""
"Fuente: Censos Nacionales de Población y Vivienda 2017","","","","","","","","","","",""
"Instituto Nacional de Estadística e Informática (INEI) - PERÚ","","","","","","","","","","",""
"","","","","","","","","","","",""
